           AT2019agf         AGN  59370.694    0.12 0.02   0.011 0.016  -0.037 0.017
           AT2019agf         AGN  59376.913    0.14 0.01  -0.003 0.016   0.043 0.015
           AT2019agf         AGN  59378.797    0.11 0.02   0.006 0.017   0.030 0.016
           AT2019agf         AGN  59380.902    0.16 0.14   0.017 0.016  -0.087 0.068
           AT2019agf         AGN  59382.804   -0.16 0.03   0.036 0.020   0.562 0.016
           AT2019agf         AGN  59385.016    0.06 0.03   0.187 0.021   0.012 0.015
           AT2019agf         AGN  59390.887    0.12 0.03   0.017 0.015   0.053 0.021
           AT2019agf         AGN  59392.889    0.09 0.02   0.028 0.019   0.031 0.015
           AT2019agf         AGN  59396.779    0.10 0.03  -0.012 0.015   0.012 0.020
           AT2019agf         AGN  59399.782    0.10 0.02  -0.014 0.016  -0.044 0.018
           AT2019agf         AGN  59401.795    0.09 0.02   0.014 0.016   0.032 0.019
           AT2019agf         AGN  59403.820    0.06 0.02   0.025 0.016   0.001 0.017
           AT2019agf         AGN  59406.731    0.05 0.01   0.022 0.015   0.008 0.016
           AT2019agf         AGN  59408.785    0.10 0.04   0.075 0.022   0.080 0.019
           AT2019agf         AGN  59410.745    0.07 0.03   0.032 0.017   0.044 0.019
           AT2019agf         AGN  59414.944    0.09 0.02  -0.021 0.016   0.012 0.018
           AT2019agf         AGN  59723.791    0.19 0.02  -0.005 0.017   0.008 0.015
           AT2019agf         AGN  59725.741    0.20 0.02  -0.004 0.016  -0.007 0.016
           AT2019agf         AGN  59729.980    0.20 0.03  -0.009 0.016   0.013 0.019
           AT2019agf         AGN  59731.930    0.21 0.01  -0.002 0.016   0.005 0.016
           AT2019agf         AGN  59734.087    0.21 0.02   0.017 0.018  -0.012 0.015
           AT2019agf         AGN  59736.712    0.20 0.03   0.004 0.016  -0.014 0.017
           AT2019agf         AGN  59740.740    0.21 0.03   0.020 0.016   0.011 0.020
           AT2019agf         AGN  59742.700    0.22 0.09  -0.016 0.046   0.025 0.017
           AT2019agf         AGN  59747.900    0.20 0.03   0.042 0.017   0.028 0.020
           AT2019agf         AGN  59749.877    0.20 0.02   0.010 0.016  -0.029 0.016
           AT2019agf         AGN  59755.704    0.20 0.02   0.009 0.016   0.025 0.016
           SN2020fqi       SN Ia  58954.732    0.16 0.06   0.094 0.032   0.104 0.022
           AT2018lvn         AGN  59304.701   -0.53 0.01  -0.017 0.015  -0.050 0.015
           AT2018lvn         AGN  59306.991   -0.45 0.05  -0.017 0.017  -0.019 0.024
           AT2018lvn         AGN  59308.984   -0.47 0.02   0.030 0.017   0.017 0.016
           AT2018lvn         AGN  59311.046   -0.48 0.02   0.027 0.017   0.090 0.015
           AT2018lvn         AGN  59312.823   -0.39 0.05  -0.099 0.025   0.077 0.017
           AT2018lvn         AGN  59321.712   -0.41 0.01   0.014 0.015   0.019 0.016
           AT2018lvn         AGN  59323.734   -0.39 0.02  -0.042 0.015   0.005 0.017
           AT2018lvn         AGN  59334.631   -0.37 0.01   0.042 0.015   0.022 0.015
           AT2018lvn         AGN  59345.779   -0.34 0.03  -0.266 0.015  -0.026 0.021
           AT2018lvn         AGN  59673.745   -0.27 0.01  -0.050 0.016  -0.037 0.015
           AT2018lvn         AGN  59675.607   -0.27 0.02  -0.010 0.018  -0.007 0.016
           AT2018lvn         AGN  59677.822   -0.32 0.02  -0.006 0.019  -0.044 0.015
           AT2018lvn         AGN  59693.947   -0.37 0.05  -0.002 0.019   0.061 0.024
           AT2018iye         AGN  59362.731   -0.08 0.01  -0.100 0.015  -0.148 0.015
           AT2018lun          CV  58645.829   -0.37 0.05   0.010 0.021   0.008 0.022
           AT2018lun          CV  58651.627   -0.30 0.07   0.130 0.021   0.128 0.037
           AT2018lun          CV  58653.630   -0.38 0.08   0.158 0.024   0.009 0.029
           AT2018lns         AGN  58539.160   -0.14 0.20  -0.106 0.074  -0.109 0.022
           AT2018lns         AGN  58540.755   -0.17 0.02   0.026 0.017   0.025 0.017
           AT2018lns         AGN  58556.647   -0.31 0.04   0.143 0.018  -0.022 0.026
           AT2018lns         AGN  58560.616   -0.21 0.05   0.031 0.023  -0.012 0.027
           AT2018lns         AGN  58572.753   -0.15 0.03   0.030 0.018  -0.034 0.019
           AT2018lns         AGN  58574.953   -0.23 0.05  -0.005 0.021  -0.015 0.021
           AT2018lns         AGN  58580.663   -0.15 0.07   0.021 0.019  -0.002 0.028
           AT2018lns         AGN  58582.850   -0.23 0.04  -0.017 0.023  -0.014 0.019
           AT2018lns         AGN  58584.765   -0.17 0.03  -0.013 0.019  -0.018 0.019
           AT2018lns         AGN  58586.808   -0.14 0.04   0.053 0.019  -0.022 0.020
           AT2018lns         AGN  58591.962   -0.26 0.04  -0.004 0.021   0.151 0.020
           AT2018lns         AGN  58596.697   -0.19 0.03  -0.004 0.020  -0.003 0.016
           AT2018lns         AGN  58598.421   -0.18 0.03   0.018 0.018   0.046 0.021
           AT2018lns         AGN  58607.928   -0.19 0.01  -0.021 0.016  -0.022 0.016
           AT2018lns         AGN  58616.693   -0.16 0.02  -0.015 0.016   0.084 0.017
           AT2018lns         AGN  58649.632   -0.14 0.03   0.000 0.018  -0.021 0.019
           AT2018lns         AGN  58651.599   -0.15 0.05   0.054 0.022   0.095 0.022
           AT2018lns         AGN  58682.725   -0.12 0.02   0.009 0.015  -0.038 0.019
           AT2018lns         AGN  58965.794   -0.10 0.02   0.035 0.017   0.067 0.016
           AT2018lns         AGN  58967.642   -0.18 0.04  -0.024 0.022  -0.001 0.022
           AT2018lns         AGN  58970.735   -0.05 0.04   0.032 0.017   0.016 0.022
           AT2018lns         AGN  58972.921   -0.08 0.02   0.151 0.017  -0.065 0.016
           AT2018lns         AGN  58980.941   -0.04 0.07  -0.035 0.016  -0.052 0.035
